z:\hap\1993\4\100.pdf, 1993, 4, 725095aa-6666-4129-a4d9-944f712e1699
z:\hap\1993\3\50.pdf, 1993, 3, 3101cb88-35e2-49aa-b69a-97fbad94bead
z:\hap\1993\2\22.pdf, 1993, 2, 13b86aaa-1a52-4b1e-bdb0-4c22f05fd6d3
z:\hap\1993\1\1.pdf, 1993, 1, 282f699e-de2c-4194-91da-82e15b41abd3
z:\hap\1955\2\5001.pdf, 1955, 2, ab0ce032-a25f-4bf0-ae8d-ca8f73b8def6
z:\hap\1955\9\5096.pdf, 1955, 9, 64132103-0c30-4f0b-be3a-c64c98bf0ec0
z:\hap\1955\8\5042.pdf, 1955, 8, 31f61285-b047-437f-b6ea-6e8fe49c5988
z:\hap\1993\9\11.pdf, 1993, 9, eb1c8c8f-9444-40ba-86d5-ccec80b71ea0
z:\hap\1993\8\1.pdf, 1993, 8, 03123ddb-ed07-454e-82ce-05f880efc344
z:\hap\1990\15\415.pdf, 1990, 15, ffab6d85-f721-4945-a6c7-8fc06f9b396c
z:\hap\1991\30\757.pdf, 1991, 30, 18da25a7-8304-4926-b1b1-31f921773918
z:\hap\1985\10\165.pdf, 1985, 10, 649706e7-4952-40d0-b9ec-4ea500276569
z:\hap\1985\11\10.pdf, 1985, 11, 75979686-de8f-4bf3-aed2-37a2be5f782d
z:\hap\1985\12\1.pdf, 1985, 12, 31a5fc85-d804-40b9-8040-418459ff8d54
z:\hap\1985\13\18.pdf, 1985, 13, 42522189-9a6d-46df-8a54-2ff12ead7d38
z:\hap\1985\14\100.pdf, 1985, 14, 0c8e8831-9c59-4798-9c96-8441b41579a2
z:\hap\1985\15\1.pdf, 1985, 15, 27aa4299-797e-4642-ad4b-fe60aa98f73d
z:\hap\1985\16\125.pdf, 1985, 16, 01b7f958-2fac-4162-9930-90d333d58e42
z:\hap\1985\17\100.pdf, 1985, 17, 864e6c7f-006e-47a7-8c57-cbc01676229f
z:\hap\1985\18\164.pdf, 1985, 18, e5d8cff4-2aa1-4416-9bf3-e03fe08aa5b5
z:\hap\1985\19\115.pdf, 1985, 19, 7b33b778-f9fe-4f39-9d36-62deba9dff06
z:\hap\1984\17\5153.pdf, 1984, 17, 674950ce-e27c-4bf0-a0ec-35f07b865f7c
z:\hap\1977\1\10.pdf, 1977, 1, 34849e3c-f1cd-4d3f-af25-f69de70b5dad
z:\hap\1984\15\5098.pdf, 1984, 15, 2959565e-3692-4d67-a2cb-38c9807bc750
z:\hap\1984\14\5041.pdf, 1984, 14, 87b903d7-2aa5-4d14-8ea4-1fc27de1b9af
z:\hap\1984\13\5453.pdf, 1984, 13, 88bbdc7c-03e1-4179-8358-13dae40ff5fa
z:\hap\1984\12\5563.pdf, 1984, 12, 97300992-d461-4213-9d5a-5db1d5d6fbf4
z:\hap\1984\11\5521.pdf, 1984, 11, f3db2d1d-9b38-4ca4-9f58-8e5510bbf3b0
z:\hap\1993\34\116.pdf, 1993, 34, c1ed2128-9cd2-4113-b068-20d658b01777
z:\hap\1977\3\27.pdf, 1977, 3, 21b7ee77-c2e5-4a08-bbb7-8cd7216511a3
z:\hap\1984\19\5280.pdf, 1984, 19, a439520c-4f52-410a-be99-d1eb6ef09712
z:\hap\1984\18\5206.pdf, 1984, 18, 3bab5f5d-41c3-4a71-b8f1-87fc18f337cd
z:\hap\1977\2\22.pdf, 1977, 2, 6e19c9f3-b6d6-42ad-9f7f-7403d2cefd69
z:\hap\1983\8\181.pdf, 1983, 8, ea5aade6-dede-4d73-a219-f1cad287f03b
z:\hap\1983\9\48.pdf, 1983, 9, f4ee335c-5d98-4b37-a3e3-52cf08700448
z:\hap\1993\33\55.pdf, 1993, 33, 0ae1abdc-1976-4d66-a7ba-e663fe0e85c5
z:\hap\1990\18\589.pdf, 1990, 18, c76664eb-0385-4110-bcdb-94549c377495
z:\hap\1990\19\646.pdf, 1990, 19, 1c66185d-ba9f-4807-958a-546394d88445
z:\hap\1990\16\126.pdf, 1990, 16, d0e525c4-1b3f-4ce5-b940-111f4c93be88
z:\hap\1990\17\531.pdf, 1990, 17, 27f009de-9893-4542-951d-9cba65d34c85
z:\hap\1990\14\348.pdf, 1990, 14, 43b858ee-dddb-4300-b2bb-a715f21a5cd2
z:\hap\1993\32\34.pdf, 1993, 32, edf1cbe0-1b72-44c7-b3d8-0d9baf351f9f
z:\hap\1990\12\241.pdf, 1990, 12, 7a360faa-417f-4919-b269-55bc0b5984f8
z:\hap\1990\13\297.pdf, 1990, 13, 4c72f388-c711-4ff5-91f0-3b633c8b75ef
z:\hap\1990\10\166.pdf, 1990, 10, 408df200-7450-4ab8-b467-a8dfc58e52a4
z:\hap\1990\11\206.pdf, 1990, 11, ee747322-1562-471b-a293-e7f51ef338bd
z:\hap\1993\35\100.pdf, 1993, 35, 65f73a23-cfaa-4d59-bb66-43332cdbe7e8
z:\hap\1983\4\26.pdf, 1983, 4, d3443694-80f6-414c-bc34-22889abed884
z:\hap\1993\37\67.pdf, 1993, 37, 0bbe1004-0669-42a0-ae25-1548672906e6
z:\hap\1993\36\78.pdf, 1993, 36, 02cf6e34-3ba1-414e-b972-d7f7911e2489
z:\hap\1993\31\205.pdf, 1993, 31, d0c07b35-acec-4acc-a1ad-4bb67ea2e26b
z:\hap\1977\4\100.pdf, 1977, 4, d23c17a6-4e00-435f-8e89-f40b840c4237
z:\hap\1977\7\190.pdf, 1977, 7, e576642f-656f-4bcc-8487-d7828bae5377
z:\hap\1977\6\156.pdf, 1977, 6, 093b564f-ab9f-4a06-bea3-9779dbc2cf51
z:\hap\1977\9\36.pdf, 1977, 9, 50704b20-af89-4c07-a66d-41de174bfb1f
z:\hap\1977\8\10.pdf, 1977, 8, 8722c2f6-becd-45f8-9c81-dbe6d0bd3900
z:\hap\1983\6\148.pdf, 1983, 6, 952836d1-90cd-48e8-a81a-1df182a9c5ab
z:\hap\1983\7\172.pdf, 1983, 7, 85f31d56-8990-4fea-b279-bdcde927bdb4
z:\hap\1983\1\49.pdf, 1983, 1, 2af9db8b-ffe3-4491-95fd-137848bd030d
z:\hap\1983\2\61.pdf, 1983, 2, 91a1a82e-5c57-469c-826a-10c2d62cb246
z:\hap\1983\3\72.pdf, 1983, 3, 3fb8f1ed-8ddd-485e-9a24-e0f4c85ee310
z:\hap\1987\24\1390.pdf, 1987, 24, 3560f31d-ddc9-4386-a085-5d9e78039e71
z:\hap\1973\5\75.pdf, 1973, 5, 375cfebc-bdb8-4505-b8d0-75e78d5a8d45
z:\hap\1973\4\49.pdf, 1973, 4, a6cae310-e7be-467a-bdc4-22371f649f06
z:\hap\1973\7\117.pdf, 1973, 7, 8a88a61c-5a09-4dd4-be71-5553c46a2d0b
z:\hap\1973\6\100.pdf, 1973, 6, 895bf358-7298-4a09-914c-819e7e04e265
z:\hap\1973\1\1.pdf, 1973, 1, b32caf66-3c36-4f25-88c4-dab1c32fbd21
z:\hap\1973\3\28.pdf, 1973, 3, 91e9933a-40b2-486b-a46f-ebb7b444c388
z:\hap\1973\2\13.pdf, 1973, 2, 2cb1793e-7cde-4cfd-8ead-9273f9b098bc
z:\hap\1965\85\1.pdf, 1965, 85, a10ec7ea-445f-4bab-bda8-9e56bd48f8f9
z:\hap\1965\84\10.pdf, 1965, 84, 61681fe2-5203-490a-ab71-135c2a7f7bd1
z:\hap\1973\9\21.pdf, 1973, 9, 9093bbec-f511-4c75-ab36-03e708487011
