1995, 36, R
1995, 35, L
1995, 34, R
1995, 33, L
1995, 32, R
1995, 31, R
1995, 30, L
1983, 23, R
1983, 22, R
1983, 21, L
1983, 20, R
1983, 27, L
1981, 27, L
1983, 25, R
1995, 38, L
1980, 26, L
1980, 27, L
1980, 24, R
1980, 25, L
1980, 22, L
1980, 23, L
1980, 20, R
1980, 21, L
1986, 24, R
1989, 27, L
1980, 28, L
1980, 29, L
1987, 12, R
1987, 13, R
1987, 10, R
1989, 26, R
1987, 16, L
1986, 26, D
1987, 14, L
1987, 15, L
1987, 18, L
1986, 27, U
1981, 25, R
1986, 33, R
1986, 32, L
1986, 31, R
1986, 30, L
1981, 24, L
1991, 28, L
1991, 29, R
1991, 24, L
1991, 25, R
1991, 26, L
1991, 27, L
1991, 20, R
1991, 21, R
1991, 22, L
1991, 23, L
1958, 10, R
1975, 17, D
1975, 16, D
1975, 15, U
1975, 14, D
1975, 13, U
1975, 12, D
1975, 11, U
1975, 10, D
1975, 19, U
1975, 18, D
1978, 36, U
1978, 34, L
1978, 35, L
1978, 32, R
1978, 32, L
1978, 33, L
1978, 30, R
1978, 31, L
1998, 10, R
1991, 11, U
1981, 20, L
1998, 4, R
1998, 5, D
1998, 6, U
1998, 7, U
1998, 2, D
1998, 3, D
1998, 8, U
1998, 9, U
1986, 1, D
1991, 10, R
1986, 3, L
1986, 2, L
1986, 5, L
1986, 4, R
1986, 4, L
1986, 7, R
1986, 6, L
1986, 6, R
1986, 9, R
1986, 8, R
1980, 68, L
1980, 69, D
1990, 30, D
1990, 30, R
1980, 62, L
1980, 63, U
1980, 60, D
1980, 61, U
1980, 66, D
1980, 67, U
1980, 64, D
1980, 65, U
1993, 13, D
1993, 12, R
1993, 11, R
1993, 10, R
1993, 17, L
1993, 16, L
1993, 15, R
1993, 14, L
1993, 19, R
1993, 18, R
1979, 35, L
1979, 35, R
1979, 34, R
1979, 37, L
1979, 36, R
1979, 31, L
1979, 30, R
1979, 33, L
1979, 32, R
1995, 14, L
1995, 39, L
1983, 24, L
1972, 14, L
1972, 12, L
1972, 13, L
1972, 10, R
1972, 11, R
1983, 5, R
1991, 15, L
1990, 23, R
1991, 17, R
1991, 16, L
1981, 18, R
1981, 19, R
1991, 13, L
1990, 22, L
1981, 14, L
1981, 15, L
1981, 16, R
1981, 17, R
1981, 10, L
1981, 11, R
1981, 12, L
1981, 13, R
1990, 20, L
1978, 2, L
1978, 3, R
1987, 11, L
1990, 24, L
1987, 17, L
1997, 28, D
1997, 22, L
1997, 23, R
1997, 20, L
1997, 21, L
1997, 26, R
1997, 27, L
1997, 24, R
1997, 25, R
1980, 7, L
1980, 6, R
1980, 5, L
1980, 4, L
1980, 3, L
1980, 56, L
1980, 56, R
1980, 55, L
1980, 55, R
1980, 54, R
1980, 53, R
1980, 52, R
1980, 51, R
1980, 50, R
1991, 12, R
1980, 2, R
1980, 1, L
1993, 22, L
1980, 9, R
1980, 8, R
1987, 19, L
1989, 30, R
1955, 5, R
1984, 28, L
1984, 29, R
1992, 3, R
1955, 4, L
1984, 22, L
1984, 22, R
1984, 23, R
1984, 20, L
1984, 20, R
1984, 21, R
1984, 26, R
1955, 7, R
1984, 24, R
1984, 25, L
1984, 25, R
1955, 6, R
1990, 2, R
1955, 1, L
1993, 29, R
1995, 20, L
1995, 21, R
1995, 22, L
1992, 26, L
1995, 24, R
1995, 25, L
1995, 26, R
1995, 27, L
1995, 28, R
1995, 29, L
1980, 13, L
1980, 12, R
1980, 11, L
1980, 10, R
1980, 17, L
1980, 16, L
1980, 15, R
1980, 14, L
1987, 27, R
1987, 26, L
1980, 19, R
1980, 18, L
1987, 23, L
1987, 22, R
1987, 21, R
1987, 20, R
1983, 26, L
1986, 20, R
1986, 21, R
1986, 22, L
1981, 26, R
1981, 21, L
1986, 25, R
1981, 23, R
1981, 22, R
1986, 28, L
1986, 29, L
1981, 29, R
1981, 28, R
1958, 1, L
1958, 2, R
1958, 3, R
1977, 24, R
1958, 5, R
1977, 26, R
1979, 22, R
1958, 7, L
1958, 8, R
1977, 29, R
1987, 30, R
